city,timestamp,temperature,season
New York,2010-01-01,-3.1480878742230605,winter
New York,2010-01-02,3.9443262957370635,winter
New York,2010-01-03,-1.9903371992615604,winter
New York,2010-01-04,-2.5971092785592864,winter
New York,2010-01-05,1.6445866763354158,winter
New York,2010-01-06,-1.527124890609626,winter
New York,2010-01-07,-2.3274063531494043,winter
New York,2010-01-08,-2.5258869242834385,winter
New York,2010-01-09,5.941446228952111,winter
New York,2010-01-10,1.6969935483261025,winter
New York,2010-01-11,7.0931971278033785,winter
New York,2010-01-12,3.321264028988733,winter
New York,2010-01-13,4.555364836018394,winter
New York,2010-01-14,0.788312365272802,winter
New York,2010-01-15,-4.316543794039395,winter
New York,2010-01-16,4.161794153589065,winter
New York,2010-01-17,-9.15892033717458,winter
New York,2010-01-18,-1.8036537240931154,winter
New York,2010-01-19,5.550392332998079,winter
New York,2010-01-20,-2.4727563617636763,winter
New York,2010-01-21,1.9185126952859486,winter
New York,2010-01-22,6.666033310951368,winter
New York,2010-01-23,0.4959022421102919,winter
New York,2010-01-24,-1.1703369414259983,winter
New York,2010-01-25,9.706747092551163,winter
New York,2010-01-26,-1.1601079235981615,winter
New York,2010-01-27,-5.867863868261689,winter
New York,2010-01-28,1.3559231279291248,winter
New York,2010-01-29,-0.6682243874652714,winter
New York,2010-01-30,-0.13603291492506445,winter
New York,2010-01-31,0.665847319653387,winter
New York,2010-02-01,-8.672984586615495,winter
New York,2010-02-02,8.432500795265904,winter
New York,2010-02-03,-0.5168747335985747,winter
New York,2010-02-04,4.906219049603392,winter
New York,2010-02-05,-0.360081507825509,winter
New York,2010-02-06,-3.0855268709112194,winter
New York,2010-02-07,4.6674434397829625,winter
New York,2010-02-08,-3.3877339575072574,winter
New York,2010-02-09,0.24732707966354597,winter
New York,2010-02-10,0.58357959093136,winter
New York,2010-02-11,-0.6559629678471071,winter
New York,2010-02-12,-6.43977584693062,winter
New York,2010-02-13,9.283825289001182,winter
New York,2010-02-14,-8.856119265532067,winter
New York,2010-02-15,1.0897180584784993,winter
New York,2010-02-16,0.005192691299363591,winter
New York,2010-02-17,0.910224077045918,winter
New York,2010-02-18,-7.643080287745621,winter
New York,2010-02-19,0.39708605274991265,winter
New York,2010-02-20,-6.257555992937633,winter
New York,2010-02-21,3.028962418128449,winter
New York,2010-02-22,5.348926536923262,winter
New York,2010-02-23,-0.3904116014350672,winter
New York,2010-02-24,-1.5175217935738767,winter
New York,2010-02-25,0.9293109085099288,winter
New York,2010-02-26,-5.237829215530569,winter
New York,2010-02-27,10.679782370558407,winter
New York,2010-02-28,0.7615659687092903,winter
New York,2010-03-01,13.235754071955666,spring
New York,2010-03-02,12.633979783486705,spring
New York,2010-03-03,14.737416382011455,spring
New York,2010-03-04,15.792208253555309,spring
New York,2010-03-05,1.5289509504307137,spring
New York,2010-03-06,20.47966765479383,spring
New York,2010-03-07,12.456936487775332,spring
New York,2010-03-08,14.572453291332046,spring
New York,2010-03-09,8.477372955373925,spring
New York,2010-03-10,10.585329603072651,spring
New York,2010-03-11,4.83665009945899,spring
New York,2010-03-12,10.653034980447249,spring
New York,2010-03-13,7.434960245928025,spring
New York,2010-03-14,13.124353175927515,spring
New York,2010-03-15,16.6756854182913,spring
